"CNPJ_Companhia","Data_Referencia","Versao","ID_Documento","Data_Inicio_Exercicio_Social","Data_Fim_Exercicio_Social","Total_Remuneracao","Orgao_Administracao","Numero_Membros","Total_Remuneracao_Orgao","Numero_Membros_Remunerados","Salario","Beneficios_Diretos_Indiretos","Participacoes_Comites","Outros_Valores_Fixos","Descricao_Outros_Remuneracoes_Fixas","Bonus","Participacao_Resultados","Participacao_Reunioes","Outros_Valores_Variaveis","Comissoes","Descricao_Outros_Remuneracoes_Variaveis","Pos_emprego","Cessacao_Cargo","Baseada_Acoes","Observacao"
"00.000.000/0001-91","2021-01-01",18,110982,"2018-01-01","2018-12-31",58924949.61,"Diretoria Estatutária",36.33,58224897.96,41.42,28186373.35,3444285.29,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,11335954.21,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,344763.05,14913522.06,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 1/2021."
"00.000.000/0001-91","2021-01-01",18,110982,"2018-01-01","2018-12-31",58924949.61,"Conselho Fiscal",5,376649.35,5,376649.35,0,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,0,0,"Não Aplicável.",0,0,0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 1/2021."
"00.000.208/0001-00","2021-01-01",9,111004,"2021-01-01","2021-12-31",8034714.17,"Conselho de Administração",9,1079571.24,9,1079571.24,0,0,0,"",0,0,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2021-01-01","2021-12-31",8034714.17,"Diretoria Estatutária",9,6355381.13,9,4712067.36,0,0,0,"",0,1643313.77,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2021-01-01","2021-12-31",8034714.17,"Conselho Fiscal",5,599761.8,5,599761.8,0,0,0,"",0,0,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2020-01-01","2020-12-31",6264166.82,"Conselho de Administração",5.58,628706.23,5.58,628706.23,0,0,0,"",0,0,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2020-01-01","2020-12-31",6264166.82,"Diretoria Estatutária",7.42,5093588.49,7.42,3391960.31,0,0,0,"",0,1701628.18,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2020-01-01","2020-12-31",6264166.82,"Conselho Fiscal",5,541872.1,5,541872.1,0,0,0,"",0,0,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2019-01-01","2019-12-31",5600723.74,"Conselho de Administração",7,735059.64,7,735059.64,0,0,0,"",0,0,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2019-01-01","2019-12-31",5600723.74,"Diretoria Estatutária",6.83,4366873.63,6.83,2848958.86,0,0,0,"",0,1517914.77,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2019-01-01","2019-12-31",5600723.74,"Conselho Fiscal",4.75,498790.47,4.75,498790.47,0,0,0,"",0,0,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2018-01-01","2018-12-31",5991853.54,"Conselho de Administração",5,599423.62,5,599423.62,0,0,0,"",0,0,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2018-01-01","2018-12-31",5991853.54,"Diretoria Estatutária",7.92,4950519.07,7.92,3505104.75,0,0,0,"",0,1445414.32,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.000.208/0001-00","2021-01-01",9,111004,"2018-01-01","2018-12-31",5991853.54,"Conselho Fiscal",5,441910.85,5,441910.85,0,0,0,"",0,0,0,0,0,"O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.",0,0,0,""
"00.001.180/0001-26","2021-01-01",6,108270,"2021-01-01","2021-12-31",12641770.14,"Conselho de Administração",10.75,597351.74,7.75,505953.68,0,0,91398.06,"Encargos INSS",0,0,0,0,0,"",0,0,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021. A presente tabela contém informações da Proposta da Administração para a 61º AGO. Não foram contabilizados três Conselheiros, que são remunerados pelo Comitê de Auditoria e Riscos Estatutário"
"00.001.180/0001-26","2021-01-01",6,108270,"2021-01-01","2021-12-31",12641770.14,"Diretoria Estatutária",6.75,11659240.78,6.75,4068785.85,1688953.71,0,1876519.56,"Encargos INSS/FGTS",0,0,0,0,0,"",995576.1,912485.1,2116920.46,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021. A presente tabela contém informações da Proposta da Administração para a 61º AGO."
"00.001.180/0001-26","2021-01-01",6,108270,"2021-01-01","2021-12-31",12641770.14,"Conselho Fiscal",5,385177.62,5,326421.72,0,0,58755.89,"Encargos INSS",0,0,0,0,0,"",0,0,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021. A presente tabela contém informações da Proposta da Administração para a 61º AGO."
"00.001.180/0001-26","2021-01-01",6,108270,"2020-01-01","2020-12-31",7220898.96,"Conselho de Administração",11,582336.02,8,517922.28,0,0,64413.74,"Encargos INSS",0,0,0,0,0,"",0,0,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021. Não foram contabilizados três Conselheiros, que são remunerados pelo Comitê de Auditoria e Riscos Estatutário."
"00.001.180/0001-26","2021-01-01",6,108270,"2020-01-01","2020-12-31",7220898.96,"Diretoria Estatutária",6,6310871.99,6,3616698.55,631236.1,0,1236097.59,"Encargos INSS/FGTS",0,0,0,0,0,"",444333.11,0,382506.64,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021."
"00.001.180/0001-26","2021-01-01",6,108270,"2020-01-01","2020-12-31",7220898.96,"Conselho Fiscal",4.42,327690.95,4.42,288520.43,0,0,39170.52,"Encargos INSS",0,0,0,0,0,"",0,0,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021."
"00.001.180/0001-26","2021-01-01",6,108270,"2019-01-01","2019-12-31",6663282.31,"Conselho de Administração",10.92,597351.44,8,522274.56,0,0,75076.88,"Encargos INSS",0,0,0,0,0,"",0,0,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021. Não foram contabilizados três Conselheiros, que são remunerados pelo Comitê de Auditoria e Riscos Estatutário."
"00.001.180/0001-26","2021-01-01",6,108270,"2019-01-01","2019-12-31",6663282.31,"Diretoria Estatutária",5.67,5707520.05,5.67,3118072.85,858710.53,0,978346.36,"Encargos INSS/FGTS",0,0,0,0,0,"",453214.89,299175.42,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021."
"00.001.180/0001-26","2021-01-01",6,108270,"2019-01-01","2019-12-31",6663282.31,"Conselho Fiscal",4.75,358410.82,4.75,305022.85,0,0,53387.97,"Encargos INSS",0,0,0,0,0,"",0,0,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021."
"00.001.180/0001-26","2021-01-01",6,108270,"2018-01-01","2018-12-31",7919490.75,"Conselho de Administração",10.08,588596.49,8.08,501168.73,0,0,87427.76,"Encargos INSS",0,0,0,0,0,"",0,0,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021."
"00.001.180/0001-26","2021-01-01",6,108270,"2018-01-01","2018-12-31",7919490.75,"Diretoria Estatutária",6.42,6948244.6,6.42,3831100.47,951512.86,0,1339692.46,"Encargos INSS/FGTS",0,0,0,0,0,"",626488.53,199450.28,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021."
"00.001.180/0001-26","2021-01-01",6,108270,"2018-01-01","2018-12-31",7919490.75,"Conselho Fiscal",5,382649.66,5,318874.84,0,0,63774.82,"Encargos INSS",0,0,0,0,0,"",0,0,0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular CVM/SEP/Nº1/2021."
"00.070.698/0001-11","2021-01-01",5,109579,"2020-01-01","2020-12-31",4360415,"Conselho de Administração",9,669334,7,551083,110217,0,8034,"",0,0,0,0,0,"",0,0,0,""
"00.070.698/0001-11","2021-01-01",5,109579,"2020-01-01","2020-12-31",4360415,"Diretoria Estatutária",4,2361977,4,1635153,724373,0,2451,"",0,0,0,0,0,"",0,0,0,""
"00.070.698/0001-11","2021-01-01",5,109579,"2020-01-01","2020-12-31",4360415,"Conselho Fiscal",5,457917,5,380510,76101,0,1306,"",0,0,0,0,0,"",0,0,0,""
"00.070.698/0001-11","2021-01-01",5,109579,"2019-01-01","2019-12-31",4233696,"Conselho de Administração",9,846335,9,655128,0,0,191207,"Encargos Sociais",0,0,0,0,0,"",0,0,0,""
"00.070.698/0001-11","2021-01-01",5,109579,"2019-01-01","2019-12-31",4233696,"Diretoria Estatutária",4,2335871,4,1663640,251097,0,421134,"Encargos Sociais",0,0,0,0,0,"",0,0,0,""
"00.070.698/0001-11","2021-01-01",5,109579,"2019-01-01","2019-12-31",4233696,"Conselho Fiscal",5,492113,5,393631,0,0,98482,"Encargos Sociais",0,0,0,0,0,"",0,0,0,""
"00.080.671/0001-00","2021-01-01",3,109018,"2021-01-01","2021-12-31",17280180.52,"Conselho de Administração",7.3,3167274.56,7.3,2530125.12,637149.44,0,0,"N/A",0,0,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2021-01-01","2021-12-31",17280180.52,"Diretoria Estatutária",14,14112905.96,14,6168468.88,1731346.48,0,0,"N/A",0,6213090.6,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2021-01-01","2021-12-31",17280180.52,"Conselho Fiscal",0,0,0,0,0,0,0,"N/A",0,0,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2020-01-01","2020-12-31",22863001.32,"Conselho de Administração",8,4777392.54,8,3969299.13,808093.41,0,0,"N/A",0,0,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2020-01-01","2020-12-31",22863001.32,"Diretoria Estatutária",13,18085608.78,13,5604007.32,2226658.28,0,0,"N/A",0,10254611.28,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2020-01-01","2020-12-31",22863001.32,"Conselho Fiscal",0,0,0,0,0,0,0,"N/A",0,0,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2019-01-01","2019-12-31",15491796.05,"Conselho de Administração",8,4774699.21,8,4253078.53,521620.68,0,0,"N/A",0,0,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2019-01-01","2019-12-31",15491796.05,"Diretoria Estatutária",13,10717096.84,13,5446364.58,2505934.01,0,0,"N/A",0,2764798.25,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2019-01-01","2019-12-31",15491796.05,"Conselho Fiscal",0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,""
"00.080.671/0001-00","2021-01-01",3,109018,"2018-01-01","2018-12-31",2531305.44,"Conselho de Administração",8,765708.52,8,638090.44,127618.09,0,0,"N/A",0,0,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2018-01-01","2018-12-31",2531305.44,"Diretoria Estatutária",2.9,1765596.92,2.9,1456937.22,308659.7,0,0,"N/A",0,0,0,0,0,"",0,0,0,"N/A"
"00.080.671/0001-00","2021-01-01",3,109018,"2018-01-01","2018-12-31",2531305.44,"Conselho Fiscal",0,0,0,0,0,0,0,"N/A",0,0,0,0,0,"",0,0,0,"N/A"
"00.192.769/0001-59","2021-01-01",1,105168,"2020-01-01","2020-12-31",149760,"Conselho de Administração",4,149760,4,0,0,0,0,"",0,0,0,0,0,"",0,0,0,""
"00.242.184/0001-04","2021-01-01",8,110861,"2020-01-01","2020-12-31",996780,"Conselho de Administração",2.92,0,0,0,0,0,0,"0",0,0,0,0,0,"0",0,0,0,"O número de membros do Conselhode Administração eda Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício-Circular CVM/SEP nº 01/2021"
"00.242.184/0001-04","2021-01-01",8,110861,"2020-01-01","2020-12-31",996780,"Diretoria Estatutária",2.75,996780,2.33,920000,76780,0,0,"0",0,0,0,0,0,"0",0,0,0,"O número de membros do Conselhode Administração eda Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício-Circular CVM/SEP nº 01/2021"
"00.242.184/0001-04","2021-01-01",8,110861,"2020-01-01","2020-12-31",996780,"Conselho Fiscal",0,0,0,0,0,0,0,"0",0,0,0,0,0,"0",0,0,0,"O número de membros do Conselhode Administração eda Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício-Circular CVM/SEP nº 01/2021"
"00.242.184/0001-04","2021-01-01",8,110861,"2019-01-01","2019-12-31",0,"Conselho de Administração",0,0,0,0,0,0,0,"0",0,0,0,0,0,"0",0,0,0,"O número de membros do Conselhode Administração eda Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício-Circular CVM/SEP nº 01/2021"
