"CNPJ_CIA","DT_REFER","VERSAO","DENOM_CIA","CD_CVM","CATEG_DOC","ID_DOC","DT_RECEB","LINK_DOC"
"00.000.000/0001-91","2021-01-01",17,"BCO BRASIL S.A.",1023,"FRE NOVO",110810,"2021-12-17","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110810"
"00.000.000/0001-91","2021-01-01",18,"BCO BRASIL S.A.",1023,"FRE NOVO",110982,"2021-12-27","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110982"
"00.000.208/0001-00","2021-01-01",1,"BRB BCO DE BRASILIA S.A.",14206,"FRE NOVO",105369,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105369"
"00.000.208/0001-00","2021-01-01",2,"BRB BCO DE BRASILIA S.A.",14206,"FRE NOVO",105792,"2021-06-07","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105792"
"00.000.208/0001-00","2021-01-01",3,"BRB BCO DE BRASILIA S.A.",14206,"FRE NOVO",107318,"2021-08-06","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107318"
"00.000.208/0001-00","2021-01-01",4,"BRB BCO DE BRASILIA S.A.",14206,"FRE NOVO",108250,"2021-08-24","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108250"
"00.000.208/0001-00","2021-01-01",5,"BRB BCO DE BRASILIA S.A.",14206,"FRE NOVO",108526,"2021-09-09","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108526"
"00.000.208/0001-00","2021-01-01",6,"BRB BCO DE BRASILIA S.A.",14206,"FRE NOVO",108540,"2021-09-09","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108540"
"00.000.208/0001-00","2021-01-01",7,"BRB BCO DE BRASILIA S.A.",14206,"FRE NOVO",109384,"2021-11-03","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109384"
"00.000.208/0001-00","2021-01-01",8,"BRB BCO DE BRASILIA S.A.",14206,"FRE NOVO",110358,"2021-11-19","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110358"
"00.000.208/0001-00","2021-01-01",9,"BRB BCO DE BRASILIA S.A.",14206,"FRE NOVO",111004,"2021-12-28","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=111004"
"00.001.180/0001-26","2021-01-01",1,"CENTRAIS ELET BRAS S.A. - ELETROBRAS",2437,"FRE NOVO",105663,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105663"
"00.001.180/0001-26","2021-01-01",2,"CENTRAIS ELET BRAS S.A. - ELETROBRAS",2437,"FRE NOVO",105907,"2021-06-11","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105907"
"00.001.180/0001-26","2021-01-01",3,"CENTRAIS ELET BRAS S.A. - ELETROBRAS",2437,"FRE NOVO",106297,"2021-07-05","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106297"
"00.001.180/0001-26","2021-01-01",4,"CENTRAIS ELET BRAS S.A. - ELETROBRAS",2437,"FRE NOVO",106662,"2021-07-26","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106662"
"00.001.180/0001-26","2021-01-01",5,"CENTRAIS ELET BRAS S.A. - ELETROBRAS",2437,"FRE NOVO",107145,"2021-08-02","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107145"
"00.001.180/0001-26","2021-01-01",6,"CENTRAIS ELET BRAS S.A. - ELETROBRAS",2437,"FRE NOVO",108270,"2021-08-25","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108270"
"00.070.698/0001-11","2021-01-01",1,"CIA ENERGETICA DE BRASILIA",14451,"FRE NOVO",105505,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105505"
"00.070.698/0001-11","2021-01-01",2,"CIA ENERGETICA DE BRASILIA",14451,"FRE NOVO",105826,"2021-06-08","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105826"
"00.070.698/0001-11","2021-01-01",3,"CIA ENERGETICA DE BRASILIA",14451,"FRE NOVO",109258,"2021-10-27","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109258"
"00.070.698/0001-11","2021-01-01",4,"CIA ENERGETICA DE BRASILIA",14451,"FRE NOVO",109572,"2021-11-09","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109572"
"00.070.698/0001-11","2021-01-01",5,"CIA ENERGETICA DE BRASILIA",14451,"FRE NOVO",109579,"2021-11-09","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109579"
"00.080.671/0001-00","2021-01-01",1,"CARAMURU ALIMENTOS S.A.",26190,"FRE NOVO",106015,"2021-07-26","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106015"
"00.080.671/0001-00","2021-01-01",2,"CARAMURU ALIMENTOS S.A.",26190,"FRE NOVO",108668,"2021-09-17","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108668"
"00.080.671/0001-00","2021-01-01",3,"CARAMURU ALIMENTOS S.A.",26190,"FRE NOVO",109018,"2021-10-13","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109018"
"00.192.769/0001-59","2021-01-01",1,"NEUMARKT TRADE AND FINANCIAL CENTER S/A",14613,"FRE NOVO",105168,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105168"
"00.194.724/0001-13","2021-01-01",1,"AES BRASIL OPERAÇÕES S.A.",26174,"FRE NOVO",104159,"2021-08-03","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104159"
"00.194.724/0001-13","2021-01-01",2,"AES BRASIL OPERAÇÕES S.A.",26174,"FRE NOVO",108168,"2021-08-19","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108168"
"00.242.184/0001-04","2021-01-01",1,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",26069,"FRE NOVO",103715,"2021-07-21","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103715"
"00.242.184/0001-04","2021-01-01",2,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",26069,"FRE NOVO",106767,"2021-07-28","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106767"
"00.242.184/0001-04","2021-01-01",3,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",26069,"FRE NOVO",107275,"2021-08-04","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107275"
"00.242.184/0001-04","2021-01-01",4,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",26069,"FRE NOVO",107308,"2021-08-05","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107308"
"00.242.184/0001-04","2021-01-01",5,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",26069,"FRE NOVO",108173,"2021-08-19","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108173"
"00.242.184/0001-04","2021-01-01",6,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",26069,"FRE NOVO",108445,"2021-09-02","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108445"
"00.242.184/0001-04","2021-01-01",7,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",26069,"FRE NOVO",109853,"2021-11-11","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109853"
"00.242.184/0001-04","2021-01-01",8,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",26069,"FRE NOVO",110861,"2021-12-21","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110861"
"00.272.185/0001-93","2021-01-01",1,"CIMS S.A.",14818,"FRE NOVO",105336,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105336"
"00.336.701/0001-04","2021-01-01",1,"TELEC BRASILEIRAS S.A. TELEBRAS",11258,"FRE NOVO",105072,"2021-05-28","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105072"
"00.336.701/0001-04","2021-01-01",2,"TELEC BRASILEIRAS S.A. TELEBRAS",11258,"FRE NOVO",106596,"2021-07-22","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106596"
"00.336.701/0001-04","2021-01-01",3,"TELEC BRASILEIRAS S.A. TELEBRAS",11258,"FRE NOVO",108233,"2021-08-24","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108233"
"00.336.701/0001-04","2021-01-01",4,"TELEC BRASILEIRAS S.A. TELEBRAS",11258,"FRE NOVO",108551,"2021-09-10","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108551"
"00.336.701/0001-04","2021-01-01",5,"TELEC BRASILEIRAS S.A. TELEBRAS",11258,"FRE NOVO",109448,"2021-11-05","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109448"
"00.336.701/0001-04","2021-01-01",7,"TELEC BRASILEIRAS S.A. TELEBRAS",11258,"FRE NOVO",110440,"2021-11-24","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110440"
"00.359.742/0001-08","2021-01-01",1,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.",15423,"FRE NOVO",105315,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105315"
"00.359.742/0001-08","2021-01-01",2,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.",15423,"FRE NOVO",109449,"2021-11-05","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109449"
"00.359.742/0001-08","2021-01-01",3,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.",15423,"FRE NOVO",110341,"2021-11-19","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110341"
"00.383.281/0001-09","2021-01-01",1,"BNDES PARTICIPACOES S.A. - BNDESPAR",16772,"FRE NOVO",105223,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105223"
"00.383.281/0001-09","2021-01-01",2,"BNDES PARTICIPACOES S.A. - BNDESPAR",16772,"FRE NOVO",105723,"2021-06-01","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105723"
"00.383.281/0001-09","2021-01-01",3,"BNDES PARTICIPACOES S.A. - BNDESPAR",16772,"FRE NOVO",106332,"2021-07-07","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106332"
"00.383.281/0001-09","2021-01-01",4,"BNDES PARTICIPACOES S.A. - BNDESPAR",16772,"FRE NOVO",106792,"2021-07-29","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106792"
"00.383.281/0001-09","2021-01-01",5,"BNDES PARTICIPACOES S.A. - BNDESPAR",16772,"FRE NOVO",107248,"2021-08-04","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107248"
"00.383.281/0001-09","2021-01-01",6,"BNDES PARTICIPACOES S.A. - BNDESPAR",16772,"FRE NOVO",110867,"2021-12-22","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110867"
"00.389.481/0001-79","2021-01-01",1,"LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.",24880,"FRE NOVO",105304,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105304"
"00.416.968/0001-01","2021-01-01",1,"BANCO INTER S.A.",24406,"FRE NOVO",105586,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105586"
"00.416.968/0001-01","2021-01-01",2,"BANCO INTER S.A.",24406,"FRE NOVO",105939,"2021-06-15","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105939"
"00.416.968/0001-01","2021-01-01",3,"BANCO INTER S.A.",24406,"FRE NOVO",106138,"2021-06-25","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106138"
"00.416.968/0001-01","2021-01-01",4,"BANCO INTER S.A.",24406,"FRE NOVO",106305,"2021-07-05","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106305"
"00.416.968/0001-01","2021-01-01",5,"BANCO INTER S.A.",24406,"FRE NOVO",106392,"2021-07-08","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106392"
"00.416.968/0001-01","2021-01-01",6,"BANCO INTER S.A.",24406,"FRE NOVO",107346,"2021-08-06","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107346"
"00.416.968/0001-01","2021-01-01",7,"BANCO INTER S.A.",24406,"FRE NOVO",108161,"2021-08-19","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108161"
"00.416.968/0001-01","2021-01-01",8,"BANCO INTER S.A.",24406,"FRE NOVO",108461,"2021-09-03","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108461"
"00.416.968/0001-01","2021-01-01",9,"BANCO INTER S.A.",24406,"FRE NOVO",108938,"2021-10-06","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108938"
"00.416.968/0001-01","2021-01-01",10,"BANCO INTER S.A.",24406,"FRE NOVO",109266,"2021-10-28","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109266"
"00.416.968/0001-01","2021-01-01",11,"BANCO INTER S.A.",24406,"FRE NOVO",109362,"2021-11-03","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109362"
"00.416.968/0001-01","2021-01-01",12,"BANCO INTER S.A.",24406,"FRE NOVO",110365,"2021-11-20","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110365"
"00.416.968/0001-01","2021-01-01",13,"BANCO INTER S.A.",24406,"FRE NOVO",110394,"2021-11-22","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110394"
"00.416.968/0001-01","2021-01-01",14,"BANCO INTER S.A.",24406,"FRE NOVO",110479,"2021-11-26","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110479"
"00.416.968/0001-01","2021-01-01",15,"BANCO INTER S.A.",24406,"FRE NOVO",110724,"2021-12-13","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110724"
"00.545.378/0001-70","2021-01-01",1,"SERRA AZUL WATER PARK SA",14966,"FRE NOVO",105538,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105538"
"00.545.378/0001-70","2021-01-01",2,"SERRA AZUL WATER PARK SA",14966,"FRE NOVO",105553,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105553"
"00.622.416/0001-41","2021-01-01",1,"STATKRAFT ENERGIAS RENOVAVEIS S.A.",22594,"FRE NOVO",105128,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105128"
"00.622.416/0001-41","2021-01-01",2,"STATKRAFT ENERGIAS RENOVAVEIS S.A.",22594,"FRE NOVO",107343,"2021-08-06","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107343"
"00.622.416/0001-41","2021-01-01",3,"STATKRAFT ENERGIAS RENOVAVEIS S.A.",22594,"FRE NOVO",108825,"2021-09-30","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108825"
"00.622.416/0001-41","2021-01-01",4,"STATKRAFT ENERGIAS RENOVAVEIS S.A.",22594,"FRE NOVO",108826,"2021-09-30","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108826"
"00.644.907/0001-93","2021-01-01",1,"INVESTCO S.A.",18589,"FRE NOVO",105249,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105249"
"00.743.065/0001-27","2021-01-01",1,"LITEL PARTICIPACOES S.A.",15091,"FRE NOVO",104808,"2021-05-25","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104808"
"00.743.065/0001-27","2021-01-01",2,"LITEL PARTICIPACOES S.A.",15091,"FRE NOVO",110579,"2021-12-03","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110579"
"00.776.574/0001-56","2021-01-01",1,"AMERICANAS S.A.",20990,"FRE NOVO",105519,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105519"
"00.776.574/0001-56","2021-01-01",2,"AMERICANAS S.A.",20990,"FRE NOVO",106073,"2021-06-21","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106073"
"00.776.574/0001-56","2021-01-01",3,"AMERICANAS S.A.",20990,"FRE NOVO",107305,"2021-08-05","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107305"
"00.776.574/0001-56","2021-01-01",4,"AMERICANAS S.A.",20990,"FRE NOVO",107474,"2021-08-10","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107474"
"00.776.574/0001-56","2021-01-01",5,"AMERICANAS S.A.",20990,"FRE NOVO",108221,"2021-08-23","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108221"
"00.776.574/0001-56","2021-01-01",6,"AMERICANAS S.A.",20990,"FRE NOVO",109353,"2021-11-01","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109353"
"00.776.574/0001-56","2021-01-01",7,"AMERICANAS S.A.",20990,"FRE NOVO",109994,"2021-11-12","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109994"
"00.776.574/0001-56","2021-01-01",8,"AMERICANAS S.A.",20990,"FRE NOVO",110294,"2021-11-17","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110294"
"00.776.574/0001-56","2021-01-01",10,"AMERICANAS S.A.",20990,"FRE NOVO",111038,"2021-12-30","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=111038"
"00.864.214/0001-06","2021-01-01",1,"ENERGISA S.A.",15253,"FRE NOVO",105578,"2021-05-31","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105578"
"00.864.214/0001-06","2021-01-01",2,"ENERGISA S.A.",15253,"FRE NOVO",106407,"2021-07-12","http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106407"
